30	104
40	47
50	30
60	22
70	20
80	11
90	10
100	25
110	6
120	7
130	7
140	6
150	5
160	5
170	5
180	8
190	3
200	4
210	3
220	3
230	3
240	5
250	3
260	3
270	2
280	2
290	2
300	2
310	2
320	3
330	3
340	3
350	2
360	2
370	2
380	2
390	2
400	3
410	2
420	2
430	2
440	2
450	2
460	2
470	2
480	2
490	2
500	2
510	2
520	2
530	2
540	2
550	2
560	2
570	2
580	2
590	2
600	2
610	2
620	2
630	2
640	2
650	2
660	2
670	2
680	2
690	2
700	2
710	2
720	2
730	2
740	2
750	2
760	2
770	2
780	2
790	1
800	1
810	2
820	2
830	1
840	2
850	2
860	1
870	2
880	2
890	2
900	2
910	1
920	2
930	2
940	2
950	2
960	2
970	1
980	2
990	1
1000	2
