30	2178
40	1689
50	1440
60	1179
70	925
80	869
90	797
100	614
110	573
120	526
130	478
140	434
150	487
160	398
170	384
180	373
190	336
200	337
210	311
220	293
230	276
240	247
250	270
260	285
270	262
280	233
290	226
300	240
310	227
320	198
330	202
340	211
350	200
360	181
370	180
380	184
390	172
400	157
410	177
420	169
430	143
440	130
450	164
460	143
470	113
480	140
490	129
500	114
510	133
520	125
530	120
540	89
550	112
560	111
570	121
580	112
590	231
600	109
610	114
620	91
630	111
640	99
650	92
660	111
670	104
680	89
690	200
700	74
710	80
720	72
730	70
740	82
750	76
760	61
770	64
780	80
790	65
800	60
810	81
820	64
830	61
840	67
850	64
860	62
870	52
880	60
890	61
900	57
910	51
920	60
930	55
940	48
950	58
960	72
970	60
980	46
990	61
1000	58
